	RP	SYMBOL	Entrez RNA	RNA Type	Species	Protein	Entrez Protein	Protein Type	Species	Confidence
8139804	RP08139805	INO80B	83444	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8142514	RP08142515	SLC25A28	81894	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8142869	RP08142870	C11orf68	83638	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8145909	RP08145910	PWWP2B	170394	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8146820	RP08146821	GIPC1	10755	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8156759	RP08156760	EI24	9538	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8157149	RP08157150	FAM189B	10712	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8157958	RP08157959	DYNLL1	8655	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8158041	RP08158042	RAN	5901	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8158612	RP08158613	TPI1	7167	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8159586	RP08159587	PCSK6	5046	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8160197	RP08160198	MAZ	4150	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8160226	RP08160227	ZNF768	79724	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8161336	RP08161337	ACTG1	71	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8161597	RP08161598	PQLC1	80148	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8161599	RP08161600	TXNL4A	10907	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8162852	RP08162853	GNAS	2778	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8163034	RP08163035	MZT2B	80097	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8163429	RP08163430	TANGO2	128989	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8163637	RP08163638	CSNK1E	1454	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8163722	RP08163723	SMDT1	91689	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8163775	RP08163776	TAFA5	25817	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8164401	RP08164402	ZNF639	51193	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8164864	RP08164865	CTBP1	1487	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8166351	RP08166352	VEGFA	7422	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8166677	RP08166678	LRRC61	65999	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8166860	RP08166861	SEC61G	23480	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8167529	RP08167530	TXN	7295	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8167689	RP08167690	GTF3C4	9329	mRNA	Homo sapiens	DDX3X	1654.0	RBP	Homo sapiens	0.7155
8185183	RP08185184	CLK2	1196	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185240	RP08185241	PPP1CA	5499	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185273	RP08185274	TMEM9	252839	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185279	RP08185280	CHPT1	56994	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185308	RP08185309	RAN	5901	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185309	RP08185310	FBRSL1	57666	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185392	RP08185393	TPI1	7167	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185570	RP08185571	ZNF768	79724	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185576	RP08185577	BCL7C	9274	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185686	RP08185687	CUEDC1	404093	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185712	RP08185713	ACTG1	71	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185796	RP08185797	GPI	2821	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185800	RP08185801	CAPNS1	826	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185816	RP08185817	SH3GL1	6455	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185842	RP08185843	EMC10	284361	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185880	RP08185881	CPNE1	8904	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185941	RP08185942	HOXD13	3239	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185968	RP08185969	MAPK1	5594	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8185999	RP08186000	PICK1	9463	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186000	RP08186001	CSNK1E	1454	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186158	RP08186159	NT5DC2	64943	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186172	RP08186173	CTBP1	1487	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186173	RP08186174	ANXA5	308	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186250	RP08186251	RNF130	55819	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186355	RP08186356	MTCH1	23787	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186385	RP08186386	TSPAN33	340348	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186396	RP08186397	AGAP3	116988	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186400	RP08186401	ACTR3B	57180	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186448	RP08186449	CYHR1	50626	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186491	RP08186492	NPDC1	56654	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186499	RP08186500	SIGMAR1	10280	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186503	RP08186504	TPM2	7169	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186755	RP08186756	PABPN1	8106	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186762	RP08186763	ATPAF1	64756	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186789	RP08186790	MAF	4094	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8186901	RP08186902	CDV3	55573	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8187000	RP08187001	ARPC5L	81873	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8187030	RP08187031	ATRNL1	26033	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8187087	RP08187088	MAPKAPK2	9261	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8187182	RP08187183	RAB40C	57799	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8187201	RP08187202	HOXB3	3213	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188233	RP08188234	BRF1	2972	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188310	RP08188311	SENP3	26168	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188335	RP08188336	RUNDC3A	10900	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188362	RP08188363	TGIF1	7050	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188365	RP08188366	RAB12	201475	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188392	RP08188393	TRIP10	9322	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188454	RP08188455	IL1R1	3554	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188719	RP08188720	WTAP	9589	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188865	RP08188866	TRNP1	388610	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188885	RP08188886	HES6	55502	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188886	RP08188887	STK25	10494	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8188977	RP08188978	NRG3	10718	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189132	RP08189133	CTDNEP1	23399	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189279	RP08189280	NECTIN3	25945	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189458	RP08189459	ESRRA	2101	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189519	RP08189520	RTN4R	65078	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189576	RP08189577	NIT1	4817	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189802	RP08189803	YAP1	10413	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189865	RP08189866	MLST8	64223	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189889	RP08189890	THRA	7067	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189928	RP08189929	KCNK3	3777	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8189960	RP08189961	AGFG1	3267	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8190149	RP08190150	JUND	3727	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8190192	RP08190193	PWWP2B	170394	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8190456	RP08190457	AGTRAP	57085	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8190487	RP08190488	SERINC2	347735	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8190975	RP08190976	ZNF219	51222	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191256	RP08191257	SLC25A10	1468	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191259	RP08191260	METRNL	284207	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191268	RP08191269	GATA6	2627	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191287	RP08191288	MAPK4	5596	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191307	RP08191308	MFSD12	126321	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191568	RP08191569	AGAP1	116987	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191674	RP08191675	EMID1	129080	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191698	RP08191699	CYB5R3	1727	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191704	RP08191705	PRR5	55615	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191817	RP08191818	FGFRL1	53834	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191824	RP08191825	MSX1	4487	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8191952	RP08191953	SNX24	28966	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8192010	RP08192011	SLC22A23	63027	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8192194	RP08192195	ARMC10	83787	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8192222	RP08192223	RHEB	6009	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8192504	RP08192505	FTCD	10841	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8192680	RP08192681	LRRC61	65999	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8193179	RP08193180	TCEA2	6919	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8193275	RP08193276	TNIP2	79155	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8193461	RP08193462	C9orf40	55071	mRNA	Homo sapiens	DGCR8	54487.0	RBP	Homo sapiens	0.7155
8218168	RP08218169	METTL3	56339	mRNA	Homo sapiens	EIF3A	8661.0	RBP	Homo sapiens	0.8687
8219669	RP08219670	IER5	51278	mRNA	Homo sapiens	EIF3A	8661.0	RBP	Homo sapiens	0.8687
8220985	RP08220986	SQLE	6713	mRNA	Homo sapiens	EIF3A	8661.0	RBP	Homo sapiens	0.8879
8257740	RP08257741	TLX1	3195	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9104
8257776	RP08257777	PDCD4	27250	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8257934	RP08257935	TFAM	7019	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9842
8257947	RP08257948	SIRT1	23411	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9992
8258100	RP08258101	YAP1	10413	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9842
8258381	RP08258382	CELF1	10658	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8258409	RP08258410	MCL1	4170	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8258684	RP08258685	CCND1	595	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9979
8258888	RP08258889	CD55	1604	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8259014	RP08259015	MSI1	4440	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9978
8259075	RP08259076	ATF3	467	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9842
8259078	RP08259079	CDKN1B	1027	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9974
8259086	RP08259087	RAN	5901	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8259155	RP08259156	TP53BP2	7159	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8259166	RP08259167	KRAS	3845	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8259302	RP08259303	CCND2	894	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8259444	RP08259445	ATP5F1B	506	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.982
8259515	RP08259516	MDM2	4193	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9842
8259942	RP08259943	PABPN1	8106	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7331
8259959	RP08259960	TINF2	26277	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8260281	RP08260282	TJP1	7082	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8260443	RP08260444	MAP2K1	5604	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8260567	RP08260568	JUN	3725	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.8969
8260574	RP08260575	IGF1R	3480	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9159
8260614	RP08260615	COQ7	10229	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9944
8260910	RP08260911	MAF	4094	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8260978	RP08260979	COX10	1352	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8261128	RP08261129	ERBB2	2064	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8261139	RP08261140	TOP2A	7153	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9818
8261182	RP08261183	BRCA1	672	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8261229	RP08261230	HOXB3	3213	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8261380	RP08261381	CTDNEP1	23399	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8261439	RP08261440	TP53	7157	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9997
8261485	RP08261486	ALYREF	10189	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8261644	RP08261645	BCL2	596	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9988
8261661	RP08261662	YES1	7525	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8261816	RP08261817	JUND	3727	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9944
8262148	RP08262149	BAX	581	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8262392	RP08262393	BCL2L1	598	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8262403	RP08262404	DNMT3B	1789	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8262509	RP08262510	CEBPB	1051	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9974
8262738	RP08262739	ZEB2	9839	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8262824	RP08262825	ATF2	1386	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8262913	RP08262914	RHOB	388	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8263058	RP08263059	NCL	4691	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8263060	RP08263061	PTMA	5757	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8263097	RP08263098	CSNK1E	1454	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8263449	RP08263450	VHL	7428	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9852
8263876	RP08263877	WNT5A	7474	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8263999	RP08264000	CCNA2	890	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9974
8264269	RP08264270	EIF4E	1977	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9940000000000001
8264494	RP08264495	NPM1	4869	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9931
8264497	RP08264498	DUSP1	1843	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9104
8264604	RP08264605	PLK2	10769	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9852
8264644	RP08264645	OCLN	100506658	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9974
8264700	RP08264701	MEF2C	4208	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9818
8264904	RP08264905	PHF10	55274	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.7155
8265068	RP08265069	CDKN1A	1026	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9974
8265113	RP08265114	VEGFA	7422	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	1.0
8265432	RP08265433	HOXA5	3202	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8265503	RP08265504	ACTB	60	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.8969
8265696	RP08265697	MYC	4609	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9603
8265998	RP08265999	TLR4	7099	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9768
8266341	RP08266342	XIAP	331	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9992
8266377	RP08266378	FMR1	2332	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9627
8266922	RP08266923	SOX2	6657	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8267178	RP08267179	GATA3	2625	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9842
8267441	RP08267442	PTGS2	5743	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	1.0
8267761	RP08267762	FOS	2353	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.8969
8268326	RP08268327	THBD	7056	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9418
8268877	RP08268878	CXCL8	3576	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9912
8268901	RP08268902	ABCG2	9429	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9912
8269096	RP08269097	TNF	7124	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9418
8269543	RP08269544	AR	367	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9543
8269983	RP08269984	CD247	919	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9418
8270089	RP08270090	REN	5972	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9768
8270845	RP08270846	NOS2	4843	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9418
8271237	RP08271238	PLA2G4C	8605	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9967
8272331	RP08272332	ESR1	2099	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.8687
8272413	RP08272414	MEP1A	4224	mRNA	Homo sapiens	ELAVL1	1994.0	RBP	Homo sapiens	0.9768
8320033	RP08320034	LDB1	8861	mRNA	Homo sapiens	FMR1	2332.0	RBP	Homo sapiens	0.7155
8320104	RP08320105	FAM53B	9679	mRNA	Homo sapiens	FMR1	2332.0	RBP	Homo sapiens	0.7155
8320109	RP08320110	CTBP2	1488	mRNA	Homo sapiens	FMR1	2332.0	RBP	Homo sapiens	0.7155
8320121	RP08320122	PWWP2B	170394	mRNA	Homo sapiens	FMR1	2332.0	RBP	Homo sapiens	0.7155
8320151	RP08320152	PDSS1	23590	mRNA	Homo sapiens	FMR1	2332.0	RBP	Homo sapiens	0.7155
